generation,population,avg_intelligence,avg_coherence,avg_entropy,avg_sophia,sophia_gap_vs_s3,sophia_gap_vs_attractor,diversity_index,num_archetypes,top_entity_ids,paradox_pressure,dark_wisdom_total,dark_wisdom_released,dark_wisdom_remaining,dw_budget_phase,creative_energy,avg_drift,avg_recursive_depth,coevo_proposals,coevo_accepted,omega_events,shield_charge
1,36,78.1193,0.6858,0.3708,0.423459,-0.085381,0.194575,2.3208,11,"[19, 30, 8, 0, 4]",0.05,0.0646,3.0,13.7455,PHASE_1,0.0,0.0185,2.39,0,0,0,5.0
2,44,80.0345,0.6936,0.3432,0.446153,-0.062687,0.171881,2.1141,10,"[19, 30, 8, 0, 4]",0.05,0.1597,6.6,10.1455,PHASE_1,0.0,0.0207,2.5,0,0,0,5.0
3,48,80.56,0.6917,0.3134,0.472139,-0.036701,0.145895,1.999,9,"[19, 30, 8, 0, 60]",0.05,0.3044,11.0,5.7455,PHASE_1,0.0,0.0229,2.79,0,0,0,5.0
4,60,80.7224,0.6983,0.3017,0.473933,-0.034907,0.144101,1.9012,8,"[19, 30, 8, 0, 72]",0.05,0.478,15.8,0.9455,PHASE_1,0.0,0.0242,2.48,0,0,0,5.0
5,78,81.1431,0.6961,0.2869,0.488565,-0.020275,0.129469,1.8728,8,"[19, 30, 8, 0, 90]",0.05,0.6446,16.7455,0.0,PHASE_1,0.0,0.0251,2.65,0,0,0,5.0
6,90,81.4275,0.6937,0.277,0.500695,-0.008145,0.117339,1.8508,8,"[19, 30, 8, 0, 133]",0.05,0.8591,16.7455,0.0,PHASE_1,0.0,0.0273,3.03,0,0,0,5.0
7,110,81.9215,0.6944,0.2711,0.506584,-0.002256,0.11145,1.7814,8,"[19, 30, 8, 0, 133]",0.05,1.13,16.7455,0.0,PHASE_1,0.0,0.0273,2.86,0,0,0,5.0
8,119,81.95,0.6958,0.2679,0.507299,-0.001541,0.110735,1.7487,8,"[19, 30, 8, 0, 133]",0.05,1.5012,16.7455,0.0,PHASE_1,0.0,0.0301,3.16,0,0,0,5.0
9,130,82.1005,0.6915,0.2665,0.513725,0.004885,0.104309,1.807,8,"[19, 30, 8, 201, 0]",0.05,1.86,16.7455,0.0,PHASE_1,0.0,0.0314,3.26,1,1,0,5.0
10,145,82.2996,0.6916,0.2638,0.516347,0.007507,0.101687,1.7357,7,"[19, 30, 8, 201, 245]",0.05,2.2585,16.7455,0.0,PHASE_1,0.0,0.032,3.3,1,1,0,5.0
11,152,82.3996,0.6932,0.2641,0.514819,0.005979,0.103215,1.7047,7,"[19, 30, 8, 201, 0]",0.05,2.6764,16.7455,0.0,PHASE_1,0.0,0.034,3.55,1,1,0,5.0
12,157,82.5654,0.6904,0.2622,0.519861,0.011021,0.098173,1.7512,7,"[19, 30, 8, 201, 0]",0.05,3.1948,16.7455,0.0,PHASE_1,0.0,0.0354,3.56,1,1,0,5.0
13,164,82.7666,0.6877,0.2613,0.525185,0.016346,0.092849,1.7545,7,"[19, 330, 30, 8, 201]",0.05,3.6775,16.7455,0.0,PHASE_1,0.0,0.0372,3.6,1,1,0,5.0
14,176,82.9252,0.6843,0.2602,0.53035,0.021511,0.087684,1.7672,7,"[19, 330, 360, 367, 30]",0.05,4.0594,16.7455,0.0,PHASE_1,0.0,0.039,3.68,1,1,0,5.0
