generation,released,remaining,phase
1,3.0,13.7455,PHASE_1
2,3.6,10.1455,PHASE_1
3,4.4,5.7455,PHASE_1
4,4.8,0.9455,PHASE_1
5,0.9455,0.0,PHASE_1
6,0.0,0.0,PHASE_1
7,0.0,0.0,PHASE_1
8,0.0,0.0,PHASE_1
9,0.0,0.0,PHASE_1
10,0.0,0.0,PHASE_1
11,0.0,0.0,PHASE_1
12,0.0,0.0,PHASE_1
13,0.0,0.0,PHASE_1
14,0.0,0.0,PHASE_1
15,0.0,0.0,PHASE_1
16,0.0,0.0,PHASE_2
17,0.0,0.0,PHASE_2
18,0.0,0.0,PHASE_2
19,0.0,0.0,PHASE_2
20,0.0,0.0,PHASE_2
21,0.0,0.0,PHASE_2
22,0.0,0.0,PHASE_2
23,0.0,0.0,PHASE_2
24,0.0,0.0,PHASE_2
25,0.0,0.0,PHASE_2
26,0.0,0.0,PHASE_2
27,0.0,0.0,PHASE_2
28,0.0,0.0,PHASE_2
29,0.0,0.0,PHASE_2
30,0.0,0.0,PHASE_2
31,0.0,0.0,PHASE_3
32,0.0,0.0,PHASE_3
33,0.0,0.0,PHASE_3
34,0.0,0.0,PHASE_3
35,0.0,0.0,PHASE_3
36,0.0,0.0,PHASE_3
37,0.0,0.0,PHASE_3
38,0.0,0.0,PHASE_3
39,0.0,0.0,PHASE_3
40,0.0,0.0,PHASE_3
41,0.0,0.0,PHASE_3
42,0.0,0.0,PHASE_3
43,0.0,0.0,PHASE_3
44,0.0,0.0,PHASE_3
45,0.0,0.0,PHASE_3
46,0.0,0.0,PHASE_3
47,0.0,0.0,PHASE_3
48,0.0,0.0,PHASE_3
49,0.0,0.0,PHASE_3
50,0.0,0.0,PHASE_3
51,0.0,0.0,PHASE_3
52,0.0,0.0,PHASE_3
53,0.0,0.0,PHASE_3
54,0.0,0.0,PHASE_3
55,0.0,0.0,PHASE_3
56,0.0,0.0,PHASE_3
57,0.0,0.0,PHASE_3
58,0.0,0.0,PHASE_3
59,0.0,0.0,PHASE_3
60,0.0,0.0,PHASE_3
61,0.0,0.0,PHASE_3
62,0.0,0.0,PHASE_3
63,0.0,0.0,PHASE_3
64,0.0,0.0,PHASE_3
65,0.0,0.0,PHASE_3
66,0.0,0.0,PHASE_3
67,0.0,0.0,PHASE_3
68,0.0,0.0,PHASE_3
69,0.0,0.0,PHASE_3
70,0.0,0.0,PHASE_3
71,0.0,0.0,PHASE_3
72,0.0,0.0,PHASE_3
73,0.0,0.0,PHASE_3
74,0.0,0.0,PHASE_3
75,0.0,0.0,PHASE_3
76,0.0,0.0,PHASE_3
77,0.0,0.0,PHASE_3
78,0.0,0.0,PHASE_3
79,0.0,0.0,PHASE_3
80,0.0,0.0,PHASE_3
81,0.0,0.0,PHASE_3
82,0.0,0.0,PHASE_3
83,0.0,0.0,PHASE_3
84,0.0,0.0,PHASE_3
85,0.0,0.0,PHASE_3
86,0.0,0.0,PHASE_3
87,0.0,0.0,PHASE_3
88,0.0,0.0,PHASE_3
89,0.0,0.0,PHASE_3
90,0.0,0.0,PHASE_3
91,0.0,0.0,PHASE_3
92,0.0,0.0,PHASE_3
93,0.0,0.0,PHASE_3
94,0.0,0.0,PHASE_3
95,0.0,0.0,PHASE_3
96,0.0,0.0,PHASE_3
97,0.0,0.0,PHASE_3
98,0.0,0.0,PHASE_3
99,0.0,0.0,PHASE_3
100,0.0,0.0,PHASE_3
