year,temp_anomaly_c,co2_ppm,ocean_ph,biodiversity_index,methane_ppb,ash_optical_depth,magnetosphere_strength,subsurface_habitat_fraction,seismic_intensity
0,0.0,280.0,8.2,1.0,700.0,12.5474,1.0,1.0,1.0
0,-20.8496,303.58,8.2,0.995,700.0,12.5474,0.95,1.0,1.0
0.01,-20.8477,303.58,8.01,0.4754,698.6,12.4973,0.95,1.0,0.999
0.02,-20.8457,303.58,8.009,0.4754,697.2,12.4475,0.95,1.0,0.998
0.03,-20.8435,303.58,8.008,0.4754,695.8,12.3978,0.95,1.0,0.997
0.04,-20.8413,303.58,8.008,0.4754,694.4,12.3483,0.95,1.0,0.9959
0.05,-20.8388,303.58,8.007,0.4754,693.0,12.299,0.95,1.0,0.9949
0.06,-20.8363,303.58,8.007,0.4754,691.7,12.2499,0.95,1.0,0.9938
0.07,-20.8336,303.58,8.006,0.4754,690.3,12.201,0.95,1.0,0.9927
0.08,-20.8308,303.58,8.006,0.4754,688.9,12.1523,0.95,1.0,0.9916
0.09,-20.8279,303.58,8.005,0.4754,687.5,12.1038,0.95,1.0,0.9905
0.1,-20.8248,303.58,8.005,0.4754,686.1,12.0554,0.95,1.0,0.9894
0.11,-20.2843,303.58,8.004,0.4754,684.8,12.0073,0.95,1.0,0.9883
0.12,-20.2837,303.58,8.003,0.4754,683.4,11.9594,0.95,1.0,0.9872
0.13,-20.2829,303.58,8.003,0.4754,682.0,11.9116,0.95,1.0,0.9861
0.14,-20.282,303.58,8.002,0.4754,680.7,11.8641,0.95,1.0,0.985
0.15,-20.2809,303.58,8.002,0.4754,679.3,11.8167,0.95,1.0,0.9839
0.16,-20.2797,303.58,8.001,0.4754,678.0,11.7696,0.95,1.0,0.9828
0.17,-20.2784,303.58,8.001,0.4754,676.6,11.7226,0.95,1.0,0.9817
0.18,-20.2769,303.58,8.0,0.4754,675.2,11.6758,0.95,1.0,0.9806
0.19,-20.2753,303.58,8.0,0.4754,673.9,11.6292,0.95,1.0,0.9794
0.2,-20.2736,303.58,7.999,0.4754,672.6,11.5827,0.95,1.0,0.9783
0.21,-20.2717,303.58,7.999,0.4754,671.2,11.5365,0.9501,1.0,0.9772
0.22,-20.2697,303.58,7.998,0.4754,669.9,11.4904,0.9501,1.0,0.9761
0.23,-20.2675,303.58,7.997,0.4754,668.5,11.4446,0.9501,1.0,0.975
0.24,-20.2653,303.58,7.997,0.4754,667.2,11.3989,0.9501,1.0,0.9739
0.25,-20.2628,303.58,7.996,0.4754,665.9,11.3534,0.9501,1.0,0.9728
0.26,-20.2603,303.58,7.996,0.4754,664.5,11.3081,0.9501,1.0,0.9717
0.27,-20.2576,303.58,7.995,0.4755,663.2,11.2629,0.9501,1.0,0.9705
0.28,-20.2548,303.58,7.995,0.4755,661.9,11.218,0.9501,1.0,0.9694
0.29,-20.2519,303.58,7.994,0.4755,660.6,11.1732,0.9501,1.0,0.9683
0.3,-20.2488,303.58,7.994,0.4755,659.2,11.1286,0.9501,1.0,0.9672
0.31,-20.2457,303.58,7.993,0.4755,657.9,11.0841,0.9501,1.0,0.9661
0.32,-20.2423,303.58,7.993,0.4755,656.6,11.0399,0.9501,1.0,0.965
0.33,-20.2389,303.58,7.992,0.4755,655.3,10.9958,0.9501,1.0,0.9639
0.34,-20.2353,303.58,7.992,0.4755,654.0,10.9519,0.9501,1.0,0.9628
0.35,-20.2316,303.58,7.991,0.4755,652.7,10.9082,0.9501,1.0,0.9617
0.36,-20.2278,303.58,7.99,0.4755,651.4,10.8647,0.9501,1.0,0.9606
0.37,-20.2239,303.58,7.99,0.4755,650.1,10.8213,0.9501,1.0,0.9595
0.38,-20.2198,303.58,7.989,0.4755,648.8,10.7781,0.9501,1.0,0.9584
0.39,-20.2156,303.58,7.989,0.4755,647.5,10.7351,0.9501,1.0,0.9573
0.4,-20.2113,303.58,7.988,0.4756,646.2,10.6922,0.9501,1.0,0.9562
0.41,-20.2069,303.58,7.988,0.4756,644.9,10.6495,0.9501,1.0,0.9551
0.42,-20.2024,303.58,7.987,0.4756,643.6,10.607,0.9501,1.0,0.954
0.43,-20.1977,303.58,7.987,0.4756,642.3,10.5647,0.9501,1.0,0.9529
0.44,-20.1929,303.58,7.986,0.4756,641.0,10.5225,0.9501,1.0,0.9518
0.45,-20.188,303.58,7.986,0.4756,639.8,10.4805,0.9501,1.0,0.9507
0.46,-20.183,303.58,7.985,0.4756,638.5,10.4387,0.9501,1.0,0.9496
0.47,-20.1778,303.58,7.985,0.4756,637.2,10.397,0.9501,1.0,0.9485
0.48,-20.1726,303.58,7.984,0.4756,635.9,10.3555,0.9501,1.0,0.9474
0.49,-20.1672,303.58,7.984,0.4757,634.7,10.3141,0.9501,1.0,0.9463
0.5,-20.1617,303.58,7.983,0.4757,633.4,10.273,0.9501,1.0,0.9452
0.51,-20.1561,303.58,7.982,0.4757,632.1,10.232,0.9501,1.0,0.9441
0.52,-20.1504,303.58,7.982,0.4757,630.9,10.1911,0.9501,1.0,0.943
0.53,-20.1446,303.58,7.981,0.4757,629.6,10.1504,0.9501,1.0,0.942
0.54,-20.1386,303.58,7.981,0.4757,628.3,10.1099,0.9501,1.0,0.9409
0.55,-20.1326,303.58,7.98,0.4757,627.1,10.0696,0.9501,1.0,0.9398
0.56,-20.1264,303.58,7.98,0.4757,625.8,10.0294,0.9501,1.0,0.9387
0.57,-20.1201,303.58,7.979,0.4758,625.2,9.9893,0.9501,1.0,0.9376
